uuid,age,gender,education,employment,income,saving,debt,created_at,1M-200€,6M-200€,1J-200€,5J-200€,10J-200€,1M-3000€,6M-3000€,1J-3000€,5J-3000€,10J-3000€,95%-200€,90%-200€,75%-200€,33%-200€,10%-200€,95%-3000€,90%-3000€,75%-3000€,33%-3000€,10%-3000
df255d36-3ff0-4759-98db-2b5e4b70e890,20,0,3,2,1500,1,0,2023-07-31 09:26:28,197.5,197.5,197.5,137.5,125,2953.5,2953.5,2953.5,2062.5,2062.5,144,140.5,127.5,102.5,100,2156.5,2156.5,2062.5,1500,516
67394104-4ad1-47d9-9fcd-d7f33ee19548,20,0,3,2,1500,1,0,2023-07-31 19:27:29,197.5,197.5,197.5,144,127.5,2953.5,2953.5,2953.5,2156.5,2062.5,144,137.5,137.5,102.5,100,2156.5,2156.5,2062.5,2062.5,1500
909b17fb-7682-4922-a342-7ac48cff8662,23,0,3,1,1000,0,0,2023-08-01 13:05:50,102.5,197.5,197.5,197.5,197.5,1546.5,1546.5,1500,2953.5,2953.5,197.5,69,15.5,102.5,35,2953.5,2953.5,1828.5,1828.5,1546.5
92a15ce5-29f6-4424-917c-192bc6844957,21,0,3,2,1700,1,0,2023-08-01 17:03:01,140.5,72.5,134.5,28,5,2156.5,1687.5,1593.5,422,187,144,137.5,122.5,56,15.5,2156.5,2062.5,1828.5,843.5,234
1bf153bc-1973-4f66-88d1-a5611b279ff5,22,0,3,1,150,1,0,2023-08-01 19:09:41,197.5,197.5,197.5,72.5,50,2953.5,2953.5,2953.5,2156.5,2062.5,144,144,144,125,35,2953.5,2953.5,2156.5,2156.5,1921.5
50be293e-a6e4-411d-baa3-9e969ad76139,20,0,3,2,1750,1,0,2023-08-01 20:01:20,134.5,50,69,69,197.5,2953.5,1593.5,2062.5,2953.5,2953.5,127.5,127.5,122.5,59.5,59.5,1640.5,2109.5,1734.5,2156.5,843.5
4ea2363e-0cbb-4781-876f-153c1f42dbaf,22,0,4,2,1600,1,1,2023-08-01 20:31:50,197.5,197.5,197.5,127.5,28,2953.5,2953.5,2953.5,469,234,197.5,197.5,197.5,137.5,137.5,2953.5,2953.5,2953.5,2156.5,2062.5
36267a60-dabf-4be0-9215-a1d370b5cbf8,22,0,3,1,900,1,0,2023-08-02 09:51:22,140.5,137.5,134.5,35,25,2953.5,2062.5,2109.5,1875,843.5,134.5,122.5,122.5,5,25,2109.5,2156.5,422,750,375
fafe6976-1267-4a90-8fca-886d8bfd7cdd,20,0,3,0,1400,1,0,2023-08-02 12:58:26,197.5,197.5,197.5,140.5,137.5,2953.5,2953.5,2953.5,2156.5,2062.5,144,144,137.5,125,100,2156.5,2156.5,2062.5,1546.5,1500
0ee7a68e-605b-4457-ae2a-8bda35cfa3dc,22,1,4,1,510,0,0,2023-08-02 13:17:56,197.5,144,140.5,197.5,100,2953.5,1546.5,1078.5,234,843.5,140.5,122.5,122.5,69,100,2953.5,1921.5,1500,1500,1546.5
d7e03660-86dd-47a4-b694-0c914e3075f3,22,0,3,2,1500,1,0,2023-08-02 13:19:58,197.5,197.5,197.5,197.5,197.5,1968.5,1828.5,1828.5,1500,843.5,127.5,127.5,122.5,112.5,35,2156.5,2062.5,2062.5,1500,1500
